timestamp,fundingRate
2025-12-25T00:00:00+00:00,-0.005
2025-12-25T08:00:00+00:00,-0.005
2025-12-25T16:00:00+00:00,-0.005
2025-12-26T00:00:00+00:00,-0.005
2025-12-26T08:00:00+00:00,0.005
2025-12-26T16:00:00+00:00,0.005
2025-12-27T00:00:00+00:00,0.005
2025-12-27T08:00:00+00:00,-0.005
2025-12-27T16:00:00+00:00,-0.005
2025-12-28T00:00:00+00:00,-0.005
2025-12-28T08:00:00+00:00,-0.005
2025-12-28T16:00:00+00:00,0.005
2025-12-29T00:00:00+00:00,0.005
2025-12-29T08:00:00+00:00,0.005
2025-12-29T16:00:00+00:00,0.005
2025-12-30T00:00:00+00:00,0.005
2025-12-30T08:00:00+00:00,0.005
2025-12-30T16:00:00+00:00,0.005
2025-12-31T00:00:00+00:00,0.005
2025-12-31T08:00:00+00:00,0.005
2025-12-31T16:00:00+00:00,0.005
2026-01-01T00:00:00+00:00,0.005
2026-01-01T08:00:00+00:00,0.005
2026-01-01T16:00:00+00:00,0.005
2026-01-02T00:00:00+00:00,0.005
2026-01-02T08:00:00+00:00,0.005
2026-01-02T16:00:00+00:00,0.005
2026-01-03T00:00:00+00:00,0.005
2026-01-03T08:00:00+00:00,0.005
2026-01-03T16:00:00+00:00,0.005
2026-01-04T00:00:00+00:00,0.005
2026-01-04T08:00:00+00:00,0.005
2026-01-04T16:00:00+00:00,0.005
2026-01-05T00:00:00+00:00,0.005
2026-01-05T08:00:00+00:00,0.005
2026-01-05T16:00:00+00:00,0.005
2026-01-06T00:00:00+00:00,0.005
2026-01-06T08:00:00+00:00,0.005
2026-01-06T16:00:00+00:00,0.00357497
2026-01-07T00:00:00+00:00,-0.005
2026-01-07T08:00:00+00:00,0.00314673
2026-01-07T16:00:00+00:00,-0.005
2026-01-08T00:00:00+00:00,-0.005
2026-01-08T08:00:00+00:00,-0.005
2026-01-08T16:00:00+00:00,-0.005
2026-01-09T00:00:00+00:00,-0.00286684
2026-01-09T08:00:00+00:00,0.0001
2026-01-09T16:00:00+00:00,0.005
2026-01-10T00:00:00+00:00,0.005
2026-01-10T08:00:00+00:00,-0.005
2026-01-10T16:00:00+00:00,-0.005
2026-01-11T00:00:00+00:00,0.00037211
2026-01-11T08:00:00+00:00,0.0001
2026-01-11T16:00:00+00:00,0.0001
2026-01-12T00:00:00+00:00,-0.00034178
2026-01-12T08:00:00+00:00,0.0001
2026-01-12T16:00:00+00:00,-0.005
2026-01-13T00:00:00+00:00,0.0001
2026-01-13T08:00:00+00:00,0.0001
2026-01-13T16:00:00+00:00,0.0001
2026-01-14T00:00:00+00:00,0.0001
2026-01-14T08:00:00+00:00,0.0001
2026-01-14T16:00:00+00:00,0.0001
2026-01-15T00:00:00+00:00,0.0001
2026-01-15T08:00:00+00:00,0.0001
2026-01-15T16:00:00+00:00,0.005
2026-01-16T00:00:00+00:00,-0.005
2026-01-16T08:00:00+00:00,-0.005
2026-01-16T16:00:00+00:00,-0.005
2026-01-17T00:00:00+00:00,-0.005
2026-01-17T08:00:00+00:00,-0.005
2026-01-17T16:00:00+00:00,-0.005
2026-01-18T00:00:00+00:00,-0.005
2026-01-18T08:00:00+00:00,-0.005
2026-01-18T16:00:00+00:00,-0.005
2026-01-19T00:00:00+00:00,0.005
2026-01-19T08:00:00+00:00,0.005
2026-01-19T16:00:00+00:00,0.005
2026-01-20T00:00:00+00:00,0.005
2026-01-20T08:00:00+00:00,0.005
2026-01-20T16:00:00+00:00,-0.005
2026-01-21T00:00:00+00:00,0.0001
2026-01-21T08:00:00+00:00,0.00183663
2026-01-21T16:00:00+00:00,0.005
2026-01-22T00:00:00+00:00,0.0001
2026-01-22T08:00:00+00:00,-0.00352084
2026-01-22T16:00:00+00:00,0.0032612
2026-01-23T00:00:00+00:00,-0.00248081
2026-01-23T08:00:00+00:00,0.0015233
2026-01-23T16:00:00+00:00,0.00131918
2026-01-24T00:00:00+00:00,0.0001
2026-01-24T08:00:00+00:00,-0.00074556
2026-01-24T16:00:00+00:00,-0.00038328
2026-01-25T00:00:00+00:00,0.0001
2026-01-25T08:00:00+00:00,-0.005
2026-01-25T16:00:00+00:00,-0.005
2026-01-26T00:00:00+00:00,-0.005
2026-01-26T08:00:00+00:00,-0.00118671
2026-01-26T16:00:00+00:00,-0.005
2026-01-27T00:00:00+00:00,-0.005
2026-01-27T08:00:00+00:00,-0.005
2026-01-27T16:00:00+00:00,0.005
2026-01-28T00:00:00+00:00,0.005
2026-01-28T08:00:00+00:00,0.005
2026-01-28T16:00:00+00:00,0.005
2026-01-29T00:00:00+00:00,0.005
2026-01-29T08:00:00+00:00,0.005
2026-01-29T16:00:00+00:00,0.005
2026-01-30T00:00:00+00:00,0.005
2026-01-30T08:00:00+00:00,0.005
2026-01-30T16:00:00+00:00,0.005
2026-01-31T00:00:00+00:00,0.005
2026-01-31T08:00:00+00:00,0.005
2026-01-31T16:00:00+00:00,0.005
2026-02-01T00:00:00+00:00,0.005
2026-02-01T08:00:00+00:00,0.005
2026-02-01T16:00:00+00:00,0.005
2026-02-02T00:00:00+00:00,0.005
2026-02-02T08:00:00+00:00,0.005
2026-02-02T16:00:00+00:00,0.005
2026-02-03T00:00:00+00:00,0.005
2026-02-03T08:00:00+00:00,0.005
2026-02-03T16:00:00+00:00,0.005
2026-02-04T00:00:00+00:00,0.005
2026-02-04T08:00:00+00:00,0.005
2026-02-04T16:00:00+00:00,0.005
2026-02-05T00:00:00+00:00,0.005
2026-02-05T08:00:00+00:00,0.005
2026-02-05T16:00:00+00:00,0.005
2026-02-06T00:00:00+00:00,0.005
2026-02-06T08:00:00+00:00,0.005
2026-02-06T16:00:00+00:00,0.0001
2026-02-07T00:00:00+00:00,0.0001
2026-02-07T08:00:00+00:00,0.0001
2026-02-07T16:00:00+00:00,0.0001
2026-02-08T00:00:00+00:00,0.0001
2026-02-08T08:00:00+00:00,-2.78e-05
2026-02-08T16:00:00+00:00,0.005
2026-02-09T00:00:00+00:00,0.005
2026-02-09T08:00:00+00:00,0.005
2026-02-09T16:00:00+00:00,0.005
2026-02-10T00:00:00+00:00,0.005
2026-02-10T08:00:00+00:00,0.005
2026-02-10T16:00:00+00:00,0.005
2026-02-11T00:00:00+00:00,0.0001
2026-02-11T08:00:00+00:00,0.0001
2026-02-11T16:00:00+00:00,0.0001
2026-02-12T00:00:00+00:00,0.0001
2026-02-12T08:00:00+00:00,0.0001
2026-02-12T16:00:00+00:00,0.005
2026-02-13T00:00:00+00:00,0.005
2026-02-13T08:00:00+00:00,0.005
2026-02-13T16:00:00+00:00,0.005
2026-02-14T00:00:00+00:00,-0.00470298
2026-02-14T08:00:00+00:00,-2.831e-05
2026-02-14T16:00:00+00:00,0.005
2026-02-15T00:00:00+00:00,0.005
2026-02-15T08:00:00+00:00,0.005
2026-02-15T16:00:00+00:00,0.005
2026-02-16T00:00:00+00:00,0.005
2026-02-16T08:00:00+00:00,0.005
2026-02-16T16:00:00+00:00,0.005
2026-02-17T00:00:00+00:00,0.005
2026-02-17T08:00:00+00:00,0.005
2026-02-17T16:00:00+00:00,0.005
2026-02-18T00:00:00+00:00,0.005
2026-02-18T08:00:00+00:00,0.005
2026-02-18T16:00:00+00:00,0.005
2026-02-19T00:00:00+00:00,0.005
2026-02-19T08:00:00+00:00,0.005
2026-02-19T16:00:00+00:00,0.005
2026-02-20T00:00:00+00:00,0.005
2026-02-20T08:00:00+00:00,0.005
2026-02-20T16:00:00+00:00,0.005
2026-02-21T00:00:00+00:00,0.005
2026-02-21T08:00:00+00:00,0.005
2026-02-21T16:00:00+00:00,0.005
2026-02-22T00:00:00+00:00,0.005
2026-02-22T08:00:00+00:00,0.005
2026-02-22T16:00:00+00:00,0.005
2026-02-23T00:00:00+00:00,0.005
2026-02-23T08:00:00+00:00,0.005
2026-02-23T16:00:00+00:00,0.005
2026-02-24T00:00:00+00:00,0.005
2026-02-24T08:00:00+00:00,0.005
2026-02-24T16:00:00+00:00,0.005
2026-02-25T00:00:00+00:00,0.005
2026-02-25T08:00:00+00:00,0.005
2026-02-25T16:00:00+00:00,0.005
2026-02-26T00:00:00+00:00,0.005
2026-02-26T08:00:00+00:00,0.005
2026-02-26T16:00:00+00:00,0.005
2026-02-27T00:00:00+00:00,0.005
2026-02-27T08:00:00+00:00,0.005
2026-02-27T16:00:00+00:00,0.005
2026-02-28T00:00:00+00:00,0.005
2026-02-28T08:00:00+00:00,0.005
2026-02-28T16:00:00+00:00,0.005
2026-03-01T00:00:00+00:00,0.005
2026-03-01T08:00:00+00:00,0.005
